fishname,fs,fishdate,time_flow,time_react,tdiff,info,info_other,direction,stable10prev,change10,stable10after,FL,fishtype,loc_name,loc_x,loc_y,Unnamed: 3,flocs,fdist,stable10prev_v,stable10next_v,change10_v,change5,change5_v,change1,asfractprev5,asfractprev10,tsec,abs1,abs5,abs10,fsdir,success,absstable10,absstable10_v,fdistcm
farmed112,high,28/03/2021,19:44:04,19:44:35,00:00:31,dir_change,dir change,counter,19.1,-1.6,-7.1,16,farmed_loch,farmed112,2.445881811444465,0.0823476738418579,,o19,0.03855306735543201,2.0248456731316584,3.2812599206199238,1.9550504398153572,-2.8,1.6431676725154984,-2.8,-0.14659685863874344,-0.08376963350785341,31.0,2.8,2.8,1.6,high_counter,yes,19.1,2.0248456731316584,2.3131840413259206
farmed113,high,28/03/2021,20:11:26,20:11:33,00:00:07,swim_off,swims off,clock,-16.6,-16.6,19.55,16,farmed_loch,farmed113,0.2349894820034399,0.7521467923192043,,h23,0.10149940396973052,1.5055453054181622,1.6406299603099617,1.5055453054181622,-15.6,1.51657508881031,-15.6,0.9397590361445782,1.0,7.0,15.6,15.6,16.6,high_clock,dk,16.6,1.5055453054181622,6.089964238183831
wild1,high,03/05/2021,13:06:50,13:08:00,00:01:10,swim_off,"swims off, barely stable, first adjust postioins for a while but only now decides in needs to chagne holidng",clock,16.2,-13.8,-17.7,13,wild,wild1,2.7472676158609244,0.9002235408676219,,o14,0.20989746843970444,1.3165611772087666,1.2516655570345725,1.8737959096740262,-12.8,1.7888543819998317,-12.8,-0.7901234567901235,-0.851851851851852,70.0,12.8,12.8,13.8,high_clock,dk,16.2,1.3165611772087666,12.593848106382266
wild3,high,03/05/2021,14:10:24,14:12:14,00:01:50,dir_change,,clock,10.9,-15.8,-14.2,13,wild,wild3,0.2012088397030788,0.951501929262926,,o6,0.022310398350681264,1.66332999331662,0.6324555320336759,1.7511900715418263,-16.2,1.6431676725154984,-16.2,-1.4862385321100917,-1.4495412844036697,110.0,16.2,16.2,15.8,high_clock,yes,10.9,1.66332999331662,1.3386239010408758
wild5,high,03/05/2021,15:06:28,15:06:43,00:00:15,dir_change,,clock,18.5,13.4,-19.8,13,wild,wild5,2.7333857915710653,0.514277046729031,,o15,0.10143767520685203,1.35400640077266,0.6324555320336759,6.719788356455548,16.2,5.761944116355173,16.2,0.8756756756756756,0.7243243243243244,15.0,16.2,16.2,13.4,high_clock,yes,18.5,1.35400640077266,6.086260512411122
wild6,high,03/05/2021,15:34:40,15:35:43,00:01:03,swim_off,swims off,counter,7.9,-10.2,-12.9,13,wild,wild6,1.7502331545670888,0.9593455034378644,,o11,0.020496552070023006,1.5951314818673865,1.1972189997378646,1.4757295747452437,-10.8,1.30384048104053,-10.8,-1.3670886075949367,-1.291139240506329,63.0,10.8,10.8,10.2,high_counter,dk,7.9,1.5951314818673865,1.2297931242013804
wild7,high,03/05/2021,16:02:00,16:02:37,00:00:37,dir_change,changes direction but is first sideways accrosss...,clock,18.0,-7.2,-19.2,13,wild,wild7,2.7244198958090586,0.3033823033559303,,o22,0.014338456903869425,2.494438257849294,1.5491933384829668,3.6453928305312844,-7.0,2.6457513110645907,-7.0,-0.3888888888888889,-0.4,37.0,7.0,7.0,7.2,high_clock,yes,18.0,2.494438257849294,0.8603074142321655
wild8,high,03/05/2021,16:31:20,16:32:21,00:01:01,dir_change,,counter,9.1,-11.3,-13.3,13,wild,wild8,0.8259163561725646,0.9418208590531634,,o4,0.05582499451729094,2.2335820757001272,0.48304589153964794,1.2516655570345723,-12.2,1.0954451150103324,-12.2,-1.3406593406593406,-1.2417582417582418,61.0,12.2,12.2,11.3,high_counter,yes,9.1,2.2335820757001272,3.3494996710374565
wild10,high,03/05/2021,17:25:27,17:27:08,00:01:41,dir_change,,counter,19.1,-8.7,-7.1,13,wild,wild10,2.4091961132004855,0.0433662767557794,,o19,0.03940854448552338,2.0248456731316584,3.2812599206199238,2.359378449224852,-9.0,2.9154759474226504,-9.0,-0.47120418848167533,-0.4554973821989528,101.0,9.0,9.0,8.7,high_counter,yes,19.1,2.0248456731316584,2.364512669131403
wild11,high,03/05/2021,17:54:12,17:54:44,00:00:32,dir_change,changes direction but is first sideways accrosss...,clock,16.2,-5.0,-17.7,13,wild,wild11,2.7582052138796125,0.8510717535887997,,o14,0.1649509016232844,1.3165611772087666,1.2516655570345725,1.7638342073763937,-4.8,1.6431676725154984,-4.8,-0.2962962962962963,-0.308641975308642,32.0,4.8,4.8,5.0,high_clock,yes,16.2,1.3165611772087666,9.897054097397064
wild12,high,04/05/2021,12:01:36,12:02:04,00:00:28,dir_change,,clock,16.2,-3.1,-17.7,13,wild,wild12,2.6971912085566863,0.7965248746889119,,o14,0.10286939769384372,1.3165611772087666,1.2516655570345725,4.04007700696685,-5.2,2.04939015319192,-5.2,-0.3209876543209877,-0.19135802469135804,28.0,5.2,5.2,3.1,high_clock,yes,16.2,1.3165611772087666,6.172163861630623
wild14,high,04/05/2021,12:57:21,12:57:50,00:00:29,swim_off,barely stable but swims off,clock,22.4,1.8,-15.5,13,wild,wild14,0.5065738839577136,0.1979628549975144,,o8,0.06727996627324087,1.776388345929897,1.5811388300841898,2.0976176963403033,2.2,1.0954451150103321,2.2,0.09821428571428573,0.08035714285714286,29.0,2.2,2.2,1.8,high_clock,dk,22.4,1.776388345929897,4.036797976394452
