fishname,fs,fishdate,time_flow,time_react,tdiff,info,info_other,direction,stable10prev,change10,stable10after,FL,fishtype,loc_name,loc_x,loc_y,Unnamed: 3,flocs,fdist,stable10prev_v,stable10next_v,change10_v,change5,change5_v,change1,asfractprev5,asfractprev10,tsec,abs1,abs5,abs10,fsdir,success,absstable10,absstable10_v,fdistcm
indoorfarmed5,old,01/08/2019,16:19:05,16:19:38,00:00:33,dir_change,,counter,-10.0,0.0,12.0,20.7,farmed_in,,,,,,,,,,,,,,-0.0,33.0,,,0.0,old_counter,yes,10.0,,
indoorfarmed6,old,01/08/2019,16:55:05,16:56:34,00:01:29,swim_off,,clock,10.0,-7.0,-14.0,20.7,farmed_in,,,,,,,,,,,,,,-0.7,89.0,,,7.0,old_clock,dk,10.0,,
indoorfarmed7,old,01/08/2019,17:25:26,17:26:32,00:01:06,swim_off,,counter,-9.0,5.0,10.0,20.7,farmed_in,,,,,,,,,,,,,,-0.5555555555555556,66.0,,,5.0,old_counter,dk,9.0,,
indoorfarmed8,old,01/08/2019,17:54:12,-,nan,unstable,,clock,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_clock,dk,,,
indoorfarmed9,old,05/08/2019,15:10:03,15:10:53,00:00:50,dir_change,,clock,2.0,-5.0,-4.0,20.7,farmed_in,,,,,,,,,,,,,,-2.5,50.0,,,5.0,old_clock,yes,2.0,,
indoorfarmed10,old,05/08/2019,15:37:05,-,nan,error,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_counter,dk,,,
indoorfarmed11,old,05/08/2019,16:00:19,-,nan,error,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_counter,dk,,,
indoorfarmed12,old,05/08/2019,16:40:41,-,nan,unstable,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_counter,dk,,,
indoorfarmed13,old,05/08/2019,16:41:06,16:43:33,00:02:27,dir_change,,clock,4.0,-5.0,-6.0,20.7,farmed_in,,,,,,,,,,,,,,-1.25,147.0,,,5.0,old_clock,yes,4.0,,
indoorfarmed14,old,05/08/2019,17:18:58,-,nan,error,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_counter,dk,,,
indoorfarmed15,old,05/08/2019,17:52:24,-,nan,error,,clock,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_clock,dk,,,
indoorfarmed16,old,05/08/2019,18:23:09,-,nan,error,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_counter,dk,,,
indoorfarmed17,old,05/08/2019,18:56:21,-,nan,error,,clock,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_clock,dk,,,
indoorfarmed18,old,05/08/2019,19:14:42,-,nan,error,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_counter,dk,,,
indoorfarmed19,old,06/08/2019,09:45:58,-,nan,unstable,,clock,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_clock,dk,,,
indoorfarmed20,old,06/08/2019,10:17:33,10:18:39,00:01:06,dir_change,,counter,-15.0,6.0,10.0,20.7,farmed_in,,,,,,,,,,,,,,-0.4,66.0,,,6.0,old_counter,yes,15.0,,
indoorfarmed21,old,06/08/2019,10:48:25,10:50:48,00:02:23,dir_change,,clock,6.0,-8.0,-8.0,20.7,farmed_in,,,,,,,,,,,,,,-1.3333333333333333,143.0,,,8.0,old_clock,yes,6.0,,
indoorfarmed22,old,06/08/2019,11:18:51,11:20:06,00:01:15,swim_off,,counter,-15.0,6.0,8.0,20.7,farmed_in,,,,,,,,,,,,,,-0.4,75.0,,,6.0,old_counter,dk,15.0,,
indoorfarmed23,old,06/08/2019,11:55:59,11:59:05,00:03:06,dir_change,,clock,6.0,-8.0,-8.0,20.7,farmed_in,,,,,,,,,,,,,,-1.3333333333333333,186.0,,,8.0,old_clock,yes,6.0,,
indoorfarmed24,old,06/08/2019,12:35:59,12:40:01,00:04:02,swim_off,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,242.0,,,,old_counter,dk,,,
indoorfarmed25,old,06/08/2019,13:12:37,13:14:20,00:01:43,dir_change,,clock,10.0,-13.0,-13.0,20.7,farmed_in,,,,,,,,,,,,,,-1.3,103.0,,,13.0,old_clock,yes,10.0,,
indoorfarmed26,old,06/08/2019,13:49:25,-,nan,unstable,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_counter,dk,,,
indoorfarmed27,old,06/08/2019,14:57:18,14:58:59,00:01:41,swim_off,,clock,6.0,-8.0,-8.0,20.7,farmed_in,,,,,,,,,,,,,,-1.3333333333333333,101.0,,,8.0,old_clock,dk,6.0,,
indoorfarmed28,old,06/08/2019,15:32:37,-,nan,unstable,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_counter,dk,,,
indoorfarmed29,old,06/08/2019,16:08:50,-,nan,no_reaction,,clock,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_clock,no,,,
indoorfarmed30,old,06/08/2019,16:44:20,16:44:40,00:00:20,unstable,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,20.0,,,,old_counter,dk,,,
indoorfarmed31,old,06/08/2019,17:21:28,17:23:39,00:02:11,swim_off,,clock,6.0,-8.0,-7.0,20.7,farmed_in,,,,,,,,,,,,,,-1.3333333333333333,131.0,,,8.0,old_clock,dk,6.0,,
indoorfarmed32,old,06/08/2019,17:59:03,18:03:24,00:04:21,dir_change,,counter,-8.0,10.0,9.0,20.7,farmed_in,,,,,,,,,,,,,,-1.25,261.0,,,10.0,old_counter,yes,8.0,,
indoorfarmed33,old,06/08/2019,18:42:50,18:43:52,00:01:02,dir_change,,clock,14.0,-6.0,-9.0,20.7,farmed_in,,,,,,,,,,,,,,-0.42857142857142855,62.0,,,6.0,old_clock,yes,14.0,,
indoorfarmed34,old,06/08/2019,20:21:52,20:25:45,00:03:53,dir_change,,counter,-8.0,8.0,9.0,20.7,farmed_in,,,,,,,,,,,,,,-1.0,233.0,,,8.0,old_counter,yes,8.0,,
indoorfarmed35,old,06/08/2019,20:55:31,20:56:36,00:01:05,dir_change,,clock,9.0,-8.0,-14.0,20.7,farmed_in,,,,,,,,,,,,,,-0.8888888888888888,65.0,,,8.0,old_clock,yes,9.0,,
indoorfarmed36,old,06/08/2019,21:24:43,21:27:28,00:02:45,dir_change,,counter,-16.0,10.0,9.0,20.7,farmed_in,,,,,,,,,,,,,,-0.625,165.0,,,10.0,old_counter,yes,16.0,,
indoorfarmed37,old,06/08/2019,21:52:07,21:53:43,00:01:36,dir_change,,clock,7.0,-7.0,-7.0,20.7,farmed_in,,,,,,,,,,,,,,-1.0,96.0,,,7.0,old_clock,yes,7.0,,
indoorfarmed38,old,12/09/2019,15:28:03,15:29:44,00:01:41,dir_change,,counter,-9.0,5.0,6.0,20.7,farmed_in,,,,,,,,,,,,,,-0.5555555555555556,101.0,,,5.0,old_counter,yes,9.0,,
